time,height
5.67,-0.43522927165031433
5.7,-0.4351639151573181
5.73,-0.4350878894329071
5.77,-0.4351695477962494
5.8,-0.4353301227092743
5.83,-0.4345076084136963
5.87,-0.4340878427028656
5.9,-0.4340684413909912
5.93,-0.43890580534935
5.97,-0.4451500177383423
6.0,-0.4471169412136078
6.03,-0.45033127069473267
6.07,-0.4511028528213501
6.1,-0.4588914215564728
6.13,-0.46737125515937805
6.17,-0.4710903763771057
6.2,-0.4703666567802429
6.23,-0.4702792763710022
6.27,-0.46797311305999756
6.3,-0.46205756068229675
6.33,-0.4599001109600067
6.37,-0.4548271596431732
6.4,-0.4476681053638458
6.43,-0.4380447566509247
6.47,-0.43351513147354126
6.5,-0.4343855082988739
6.53,-0.43410754203796387
6.57,-0.4237208962440491
6.6,-0.42015954852104187
6.63,-0.4178653359413147
6.67,-0.4189695417881012
6.7,-0.41961753368377686
6.73,-0.42071786522865295
6.77,-0.4211304187774658
6.8,-0.4218350946903229
6.83,-0.4319724440574646
6.87,-0.43317216634750366
6.9,-0.4319152534008026
6.93,-0.43266189098358154
6.97,-0.43226149678230286
7.0,-0.4215509295463562
7.03,-0.42007920145988464
7.07,-0.4169010818004608
7.1,-0.41550204157829285
7.13,-0.4157015085220337
7.17,-0.41597017645835876
7.2,-0.4160962998867035
7.23,-0.4161944091320038
7.27,-0.41635674238204956
7.3,-0.4164252281188965
7.33,-0.41654977202415466
7.37,-0.41680315136909485
7.4,-0.4168912172317505
7.43,-0.4174043536186218
7.47,-0.41745880246162415
7.5,-0.41709160804748535
7.53,-0.414848268032074
7.57,-0.4129909574985504
7.6,-0.41296762228012085
7.63,-0.41384145617485046
7.67,-0.41402938961982727
7.7,-0.41409292817115784
7.73,-0.4138854742050171
7.77,-0.41335922479629517
7.8,-0.41400936245918274
7.83,-0.41402992606163025
7.87,-0.41337722539901733
7.9,-0.4130150079727173
7.93,-0.41917169094085693
7.97,-0.42447909712791443
8.0,-0.42575499415397644
8.03,-0.4264639616012573
8.07,-0.4302413761615753
8.1,-0.4291836619377136
8.13,-0.4300101697444916
8.17,-0.4314426779747009
8.2,-0.4339088201522827
8.23,-0.43467822670936584
8.27,-0.4345368444919586
8.3,-0.4368560016155243
8.33,-0.44635722041130066
8.37,-0.45031312108039856
8.4,-0.4493880569934845
8.43,-0.4511500895023346
8.47,-0.45270639657974243
8.5,-0.45569074153900146
8.53,-0.4507402181625366
8.57,-0.4515959322452545
8.6,-0.45405060052871704
8.63,-0.449687123298645
8.67,-0.446734756231308
8.7,-0.4413813054561615
8.73,-0.44077032804489136
8.77,-0.43379101157188416
8.8,-0.4290289282798767
8.83,-0.4271053373813629
8.87,-0.42612916231155396
8.9,-0.4266001880168915
8.93,-0.42685216665267944
8.97,-0.42702823877334595
9.0,-0.4273090064525604
9.03,-0.42735883593559265
9.07,-0.42722442746162415
9.1,-0.4265756905078888
9.13,-0.4247714579105377
9.17,-0.42384880781173706
9.2,-0.42293423414230347
9.23,-0.4227238893508911
9.27,-0.42269644141197205
9.3,-0.42256391048431396
9.33,-0.4225570559501648
9.37,-0.42268890142440796
9.4,-0.4227607548236847
9.43,-0.42293238639831543
9.47,-0.42300844192504883
9.5,-0.42363011837005615
9.53,-0.4248660206794739
9.57,-0.426986962556839
9.6,-0.4290769100189209
9.63,-0.43095049262046814
9.67,-0.4321635067462921
9.7,-0.433600515127182
9.73,-0.433643102645874
9.77,-0.43297648429870605
9.8,-0.43281006813049316
9.83,-0.43045276403427124
9.87,-0.4313488006591797
9.9,-0.43333038687705994
9.93,-0.43651843070983887
9.97,-0.44270098209381104
10.0,-0.45479056239128113
10.03,-0.4616287648677826
10.07,-0.4625111222267151
10.1,-0.46602097153663635
10.13,-0.4685407876968384
10.17,-0.4714222550392151
10.2,-0.4769272804260254
10.23,-0.47539404034614563
10.27,-0.46132442355155945
10.3,-0.45889773964881897
10.33,-0.4508221447467804
10.37,-0.44335421919822693
10.4,-0.43053337931632996
10.43,-0.42869603633880615
10.47,-0.42921921610832214
10.5,-0.4305741786956787
10.53,-0.4199962317943573
10.57,-0.4110216200351715
10.6,-0.4015375077724457
10.63,-0.4032581150531769
10.67,-0.40254297852516174
10.7,-0.4030745029449463
10.73,-0.4084780216217041
10.77,-0.41036027669906616
10.8,-0.41116783022880554
10.83,-0.41396623849868774
10.87,-0.4143659770488739
10.9,-0.41583651304244995
10.93,-0.4160609543323517
10.97,-0.41146066784858704
11.0,-0.41395941376686096
11.03,-0.4134517312049866
11.07,-0.41383597254753113
11.1,-0.409708172082901
11.13,-0.4068286716938019
11.17,-0.40548044443130493
11.2,-0.40499770641326904
11.23,-0.40403783321380615
11.27,-0.40424224734306335
